city,lat,lng,max_temp,humidity,windspeed,cloudiness,country,date
nuuk,64.18,-51.72,37.4,93,4.7,75,GL,1592408092
sitka,57.05,-135.33,51.8,76,3.4,90,US,1592408075
praya,14.92,-23.51,84.2,70,9.17,1,CV,1592408165
severo-kurilsk,50.68,156.12,42.3,91,2.82,100,RU,1592408165
hualmay,-11.1,-77.61,67.8,67,10.09,25,PE,1592408165
vardo,70.37,31.11,48.2,70,14.99,55,NO,1592408166
acapulco,16.86,-99.89,86.0,66,4.27,5,MX,1592407924
moose factory,51.26,-80.61,78.8,57,6.93,1,CA,1592407937
high level,58.52,-117.14,55.4,87,4.7,90,CA,1592408166
bubaque,11.28,-15.83,80.22,87,14.25,53,GW,1592408166
mount gambier,-37.83,140.77,44.6,87,8.05,75,AU,1592408078
dingle,11.0,122.67,78.37,80,3.27,100,PH,1592408166
katsuura,35.13,140.3,71.6,83,5.82,75,JP,1592408166
bojnurd,37.47,57.33,86.0,15,6.93,20,IR,1592408167
victor harbor,-35.57,138.62,43.0,95,11.1,36,AU,1592408167
nikolskoye,59.7,30.79,78.8,54,8.95,40,RU,1592408069
cidreira,-30.18,-50.21,68.25,74,9.35,48,BR,1592407849
karaton,-6.34,106.1,84.2,74,4.7,20,ID,1592408167
shelburne,44.08,-80.2,75.99,41,3.36,20,CA,1592408167
kropotkin,45.44,40.58,80.01,67,8.99,27,RU,1592408167
puertollano,38.69,-4.11,79.0,24,11.59,0,ES,1592408168
barrow,71.29,-156.79,35.6,80,11.41,75,US,1592408168
iwanai,42.97,140.51,55.76,90,4.38,100,JP,1592408168
shubarshi,48.59,57.19,76.39,28,7.47,0,KZ,1592408168
saint-philippe,-21.36,55.77,66.2,88,17.22,90,RE,1592408168
saint andrews,34.05,-81.13,64.4,77,4.7,90,US,1592408168
liuli,-11.08,34.63,69.21,68,10.2,23,TZ,1592408168
castro,-24.79,-50.01,69.08,64,8.72,81,BR,1592408075
beringovskiy,63.05,179.32,47.32,72,3.18,0,RU,1592408169
san carlos del zulia,9.0,-71.91,86.16,73,4.92,98,VE,1592408169
road town,18.42,-64.62,82.4,78,11.41,40,VG,1592408096
solvychegodsk,61.33,46.92,60.89,45,4.23,0,RU,1592408169
leningradskiy,69.38,178.42,43.84,64,8.43,77,RU,1592408080
beaverlodge,55.22,-119.44,57.2,71,5.82,90,CA,1592408169
touros,-5.2,-35.46,77.0,100,8.05,75,BR,1592408078
gat,31.61,34.76,86.0,46,11.32,0,IL,1592407983
boende,-0.22,20.87,84.42,51,1.07,20,CD,1592408170
souillac,-20.52,57.52,69.8,94,18.34,75,MU,1592408170
upington,-28.45,21.26,66.2,32,9.17,0,ZA,1592408170
sergeyevka,53.88,67.42,65.14,69,9.17,55,KZ,1592408170
port blair,11.67,92.75,83.61,81,11.12,100,IN,1592408070
santa cruz del sur,20.71,-78.0,86.47,67,7.25,86,CU,1592408170
peque,7.02,-75.91,72.07,71,0.22,99,CO,1592408170
arteni,40.3,43.76,84.2,37,23.04,40,AM,1592408170
kamina,-8.74,24.99,69.42,38,3.89,0,CD,1592408170
tarauaca,-8.16,-70.77,88.9,46,2.98,0,BR,1592408171
stornoway,58.21,-6.39,57.2,87,5.82,90,GB,1592408171
ahipara,-35.17,173.17,59.45,92,12.26,100,NZ,1592408171
banda aceh,5.56,95.32,81.97,78,4.81,100,ID,1592408171
san patricio,19.22,-104.7,84.2,79,3.67,20,MX,1592408171
provideniya,64.38,-173.3,53.69,59,2.01,1,RU,1592408171
dikson,73.51,80.55,32.68,93,2.21,92,RU,1592408074
virginia beach,36.85,-75.98,73.99,87,1.01,91,US,1592407819
kayerkan,69.35,87.76,41.0,93,6.71,40,RU,1592408172
chicama,-7.84,-79.15,72.54,59,8.16,19,PE,1592408068
lingao,19.91,109.69,80.22,75,8.77,0,CN,1592408172
bengkulu,-3.8,102.27,78.03,86,4.56,87,ID,1592408172
mittagong,-34.45,150.45,55.99,84,1.01,42,AU,1592408172
veraval,20.9,70.37,85.39,80,11.1,62,IN,1592408052
vicksburg,32.35,-90.88,80.6,61,2.44,1,US,1592408172
shache,38.42,77.24,78.24,23,26.53,96,CN,1592408173
ortigueira,-24.21,-50.95,71.24,62,6.89,9,BR,1592408173
mahebourg,-20.41,57.7,69.8,94,18.34,75,MU,1592408173
santa cruz,-17.8,-63.17,82.4,65,23.04,40,BO,1592408056
bethel,41.37,-73.41,73.99,56,5.82,1,US,1592408173
korla,41.76,86.15,81.0,54,3.0,28,CN,1592407907
umm kaddadah,13.6,26.69,94.95,26,12.12,95,SD,1592408173
shibetsu,43.66,145.13,53.69,89,4.14,91,JP,1592408173
